x,psi1,psi2
-4.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-3.794871794871794712e+00,-4.405879007204986631e-04,-2.285921560734820775e-03
-3.589743589743589869e+00,-1.135644822901887580e-03,-5.683500905234714629e-03
-3.384615384615384581e+00,-2.413150206895562071e-03,-1.148351522868093673e-02
-3.179487179487179738e+00,-4.775275668457904313e-03,-2.142015001537763211e-02
-2.974358974358974450e+00,-8.998835015065362319e-03,-3.781315320744611103e-02
-2.769230769230769162e+00,-1.623055511736236009e-02,-6.353350791983689017e-02
-2.564102564102563875e+00,-2.805404184377311913e-02,-1.017063320832122114e-01
-2.358974358974359031e+00,-4.648577499505696792e-02,-1.550633066591371456e-01
-2.153846153846154188e+00,-7.384924480310482708e-02,-2.249321357017191325e-01
-1.948717948717948900e+00,-1.124839391544729533e-01,-3.099874565593208620e-01
-1.743589743589743613e+00,-1.642708696945754387e-01,-4.050567432156815251e-01
-1.538461538461538325e+00,-2.300136991952979604e-01,-5.004447550064461403e-01
-1.333333333333333481e+00,-3.087961807175747531e-01,-5.822787378992175800e-01
-1.128205128205128194e+00,-3.974816037192040463e-01,-6.341995509201536763e-01
-9.230769230769233502e-01,-4.905546733890407962e-01,-6.403941913558305332e-01
-7.179487179487180626e-01,-5.804755949461464226e-01,-5.893884141767031792e-01
-5.128205128205127750e-01,-6.585762018141790852e-01,-4.776343542439573375e-01
-3.076923076923079314e-01,-7.163973566408355920e-01,-3.117415338447107054e-01
-1.025641025641026438e-01,-7.471855121365509333e-01,-1.083799361291506447e-01
1.025641025641021997e-01,-7.471855121365982288e-01,1.083799361296638730e-01
3.076923076923074873e-01,-7.163973566409639337e-01,3.117415338453640716e-01
5.128205128205127750e-01,-6.585762018144006857e-01,4.776343542448059920e-01
7.179487179487180626e-01,-5.804755949462515607e-01,5.893884141774671237e-01
9.230769230769233502e-01,-4.905546733888612732e-01,6.403941913562195554e-01
1.128205128205127750e+00,-3.974816037186321704e-01,6.341995509199327419e-01
1.333333333333333037e+00,-3.087961807169677941e-01,5.822787378988459883e-01
1.538461538461538325e+00,-2.300136991946819531e-01,5.004447550058847005e-01
1.743589743589743613e+00,-1.642708696940588520e-01,4.050567432151317981e-01
1.948717948717948900e+00,-1.124839391540338046e-01,3.099874565587150133e-01
2.153846153846153300e+00,-7.384924480273052927e-02,2.249321357010584665e-01
2.358974358974358587e+00,-4.648577499477047487e-02,1.550633066585580255e-01
2.564102564102563875e+00,-2.805404184360540260e-02,1.017063320828848899e-01
2.769230769230769162e+00,-1.623055511727088812e-02,6.353350791966465294e-02
2.974358974358974450e+00,-8.998835015008699312e-03,3.781315320731329366e-02
3.179487179487178850e+00,-4.775275668423841283e-03,2.142015001527206031e-02
3.384615384615384137e+00,-2.413150206877969373e-03,1.148351522860938632e-02
3.589743589743589425e+00,-1.135644822892409485e-03,5.683500905183522071e-03
3.794871794871794712e+00,-4.405879007166283324e-04,2.285921560709363275e-03
4.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
